test accuracy,train accuracy,percent,iter,time done,time left,iters per second,lora_k,lora_type,num_layer,mode,dataset,time per iter
0.6164596676826477,0.9317,100,1000,116, 00:00,8.57,4,11,1,-1,cola,0.116
0.6133540272712708,0.9567,100,1000,117, 00:00,8.54,16,11,1,-1,cola,0.117
0.6537266969680786,0.96,100,1000,117, 00:00,8.53,32,11,1,-1,cola,0.117
0.5,0.6133,100,1000,117, 00:00,8.5,64,11,1,-1,cola,0.117
0.6754658222198486,0.9917,100,1000,95, 00:00,10.48,4,-1,2,-1,cola,0.095
0.5636646151542664,0.8583,100,1000,97, 00:00,10.28,16,-1,2,-1,cola,0.097
0.5,0.5,100,1000,99, 00:00,10.07,32,-1,2,-1,cola,0.099
0.5,0.5,100,1000,103, 00:00,9.63,64,-1,2,-1,cola,0.103
0.6397515535354614,0.9517,100,1000,114, 00:00,8.71,4,0,2,-1,cola,0.114
0.568323016166687,0.93,100,1000,115, 00:00,8.68,16,0,2,-1,cola,0.115
0.5,0.5,100,1000,115, 00:00,8.66,32,0,2,-1,cola,0.115
0.5,0.5,100,1000,116, 00:00,8.6,64,0,2,-1,cola,0.116
0.6692546606063843,0.95,100,1000,114, 00:00,8.73,4,3,2,-1,cola,0.114
0.6180124282836914,0.94,100,1000,114, 00:00,8.7,16,3,2,-1,cola,0.114
0.5698757767677307,0.8833,100,1000,114, 00:00,8.71,32,3,2,-1,cola,0.114
0.5,0.5,100,1000,115, 00:00,8.63,64,3,2,-1,cola,0.115
0.5,0.5,100,1000,114, 00:00,8.72,4,6,2,-1,cola,0.114
0.5,0.9367,100,1000,114, 00:00,8.72,16,6,2,-1,cola,0.114
0.5031055808067322,0.5,100,1000,115, 00:00,8.67,32,6,2,-1,cola,0.115
0.5,0.5,100,1000,116, 00:00,8.61,64,6,2,-1,cola,0.116
0.5962733030319214,0.955,100,1000,114, 00:00,8.72,4,9,2,-1,cola,0.114
0.6102484464645386,0.9617,100,1000,115, 00:00,8.69,16,9,2,-1,cola,0.115
0.6288819909095764,0.935,100,1000,115, 00:00,8.64,32,9,2,-1,cola,0.115
0.5,0.5,100,1000,116, 00:00,8.61,64,9,2,-1,cola,0.116
0.6164596676826477,0.9317,100,1000,116, 00:00,8.59,4,11,2,-1,cola,0.116
0.6133540272712708,0.9567,100,1000,116, 00:00,8.55,16,11,2,-1,cola,0.116
0.6537266969680786,0.96,100,1000,116, 00:00,8.55,32,11,2,-1,cola,0.116
0.5,0.6133,100,1000,117, 00:00,8.52,64,11,2,-1,cola,0.117
0.6754658222198486,0.9917,100,1000,95, 00:00,10.52,4,-1,3,-1,cola,0.095
0.5636646151542664,0.8583,100,1000,97, 00:00,10.3,16,-1,3,-1,cola,0.097
